-18.007,17.994,0.992
-18.126,18.136,0.992
-18.246,18.278,0.992
-18.363,18.418,0.992
-18.48,18.558,0.992
-18.596,18.698,0.992
-18.715,18.84,0.992
-18.832,18.98,0.992
-18.946,19.118,0.992
-19.06,19.256,0.992
-19.174,19.393,0.992
-19.288,19.531,0.992
-19.402,19.669,0.992
-19.513,19.805,0.992
-19.624,19.94,0.992
-19.735,20.076,0.992
-19.846,20.212,0.992
-19.957,20.347,0.992
-20.066,20.481,0.992
-20.174,20.614,0.992
-20.282,20.747,0.992
-20.39,20.881,0.992
-20.498,21.014,0.992
-20.603,21.145,0.992
-20.708,21.276,0.992
-20.813,21.408,0.992
-20.918,21.539,0.992
-21.023,21.67,0.992
-21.125,21.798,0.992
-21.227,21.927,0.992
-21.329,22.056,0.992
-21.431,22.185,0.992
-21.533,22.313,0.992
-21.631,22.439,0.992
-21.73,22.566,0.992
-21.829,22.692,0.992
-21.927,22.818,0.992
-22.026,22.944,0.992
-22.122,23.068,0.992
-22.217,23.192,0.992
-22.312,23.315,0.992
-22.408,23.439,0.992
-22.503,23.563,0.992
-22.595,23.684,0.992
-22.687,23.805,0.992
-22.78,23.926,0.992
-22.872,24.047,0.992
-22.964,24.168,0.992
-23.052,24.287,0.992
-23.141,24.405,0.992
-23.23,24.523,0.992
-23.318,24.642,0.992
-23.407,24.76,0.992
-23.492,24.876,0.992
-23.577,24.991,0.992
-23.662,25.107,0.992
-23.748,25.223,0.992
-23.833,25.338,0.992
-23.914,25.451,0.9918
-23.996,25.564,0.9916
-24.077,25.676,0.9914
-24.159,25.789,0.9912
-24.241,25.902,0.991
-24.319,26.012,0.991
-24.397,26.121,0.991
-24.475,26.231,0.991
-24.553,26.341,0.991
-24.63,26.451,0.991
-24.705,26.558,0.991
-24.779,26.664,0.991
-24.853,26.771,0.991
-24.928,26.878,0.991
-25.002,26.985,0.991
-25.072,27.088,0.991
-25.143,27.192,0.991
-25.213,27.296,0.991
-25.284,27.399,0.991
-25.354,27.503,0.991
-25.421,27.603,0.991
-25.488,27.704,0.991
-25.554,27.804,0.991
-25.621,27.905,0.991
-25.688,28.005,0.991
